IDX_STUDENT,COD_PROGRAMA,JORNADA,DURACION,PERIODO_INGRESO,SEXO,ESTADO_CIVIL,ESTRATO,RANGO_EDAD,CONDICION_EXCEPCION,TIPO_COLEGIO,RANGO_INGRESOS,RANGO_GASTOS,TIPO_VIVIENDA,PUNTAJE_ICFES,PCN,PLC,PMA,PSC,PIN,GRADUADO_A_TIEMPO
STUDENT_1,2131,1,6,5,1,1,2,2,1,1,1,1,1,284,52,55,56,68,53,0
STUDENT_2,2131,1,6,13,1,1,2,2,1,2,2,2,5,283,57,57,54,58,57,0
STUDENT_3,2710,2,7,12,1,1,3,2,1,2,4,4,5,309,72,56,65,67,49,0
STUDENT_4,2131,1,6,3,1,1,2,3,1,1,1,1,2,234,49,45,55,41,43,0
STUDENT_5,2711,1,6,14,1,1,2,4,1,1,2,2,1,376,79,81,66,74,76,0
STUDENT_6,2131,1,6,7,1,1,2,2,1,1,2,2,2,237,49,45,46,52,45,0
STUDENT_7,2711,1,6,10,0,1,2,2,1,1,2,2,1,277,51,53,57,65,52,0
STUDENT_8,2711,1,6,14,1,1,3,2,1,2,2,2,2,317,66,58,86,47,60,1
STUDENT_9,2710,1,6,11,0,1,1,3,1,2,2,2,5,256,44,60,46,53,53,0
STUDENT_10,2722,1,6,15,1,1,2,3,1,2,1,1,2,305,70,62,60,54,59,0
STUDENT_11,2131,1,6,15,0,1,1,2,1,1,4,4,1,257,56,55,48,48,50,0
STUDENT_12,2839,2,6,15,1,1,2,4,1,1,2,2,5,315,66,67,62,74,46,0
STUDENT_13,2839,2,6,15,0,1,2,2,1,1,2,2,1,319,62,68,65,64,60,0
STUDENT_14,2839,2,6,15,1,1,3,3,1,1,2,2,1,253,52,41,57,54,49,0
STUDENT_15,2839,2,6,15,0,1,2,3,1,1,3,3,2,213,44,44,42,40,43,0
STUDENT_16,2710,2,7,12,1,3,3,3,1,2,2,2,1,263,48,56,49,55,55,0
STUDENT_17,2711,2,7,12,0,1,2,5,1,2,3,3,2,283,62,53,62,57,49,0
STUDENT_18,2711,2,7,12,1,1,2,3,1,2,2,2,5,293,58,64,62,55,54,0
STUDENT_19,2711,2,7,12,0,2,1,7,1,2,3,3,1,306,68,62,68,50,58,0
STUDENT_20,2711,2,7,12,1,2,1,7,1,2,3,3,1,265,54,49,53,59,50,0
STUDENT_21,2131,1,6,10,0,1,2,3,1,2,2,2,1,259,49,60,45,48,58,0
STUDENT_22,2710,1,6,10,0,1,2,5,1,1,3,3,1,249,51,48,50,49,51,0
STUDENT_23,2710,1,6,10,1,1,2,4,1,1,1,1,1,270,55,56,58,52,49,0
STUDENT_24,2710,2,7,12,1,1,1,3,3,1,2,2,2,232,39,49,54,40,50,0
STUDENT_25,2839,2,6,14,0,1,2,3,1,2,3,3,1,302,70,55,53,72,52,1
STUDENT_26,2839,2,6,13,1,1,3,2,1,2,3,3,1,247,58,45,49,45,50,0
STUDENT_27,2131,1,6,3,1,1,2,2,1,1,2,2,5,257,52,56,53,51,45,0
STUDENT_28,2131,1,6,13,1,1,3,5,1,1,2,2,5,300,68,61,58,64,49,0
STUDENT_29,2839,2,6,14,1,1,1,2,1,1,2,2,2,232,48,46,44,41,53,1
STUDENT_30,2839,2,6,15,1,1,2,2,1,2,3,3,2,299,59,67,64,61,48,0
STUDENT_31,2131,1,6,13,0,1,1,4,1,1,1,1,1,287,61,68,47,66,45,0
STUDENT_32,2839,2,6,15,1,1,1,2,1,1,2,2,2,353,72,73,72,69,67,1
STUDENT_33,2131,1,6,13,0,1,2,4,1,1,2,2,5,321,68,64,64,70,55,0
STUDENT_34,2839,2,6,14,0,1,2,2,1,1,2,2,1,233,40,50,47,53,43,1
STUDENT_35,2131,1,6,13,0,1,3,3,1,1,2,2,2,286,61,64,59,57,45,0
STUDENT_36,2131,1,6,13,1,1,2,4,1,1,2,2,2,332,63,62,58,71,78,0
STUDENT_37,2131,1,6,13,0,1,1,3,1,1,4,4,1,313,60,65,55,62,71,0
STUDENT_38,2131,1,6,13,0,1,3,2,1,2,3,3,2,290,54,51,57,60,68,0
STUDENT_39,2131,1,6,13,0,1,1,3,1,1,2,2,3,277,58,52,57,66,44,0
STUDENT_40,2131,1,6,13,0,2,1,6,1,2,2,2,2,297,64,55,53,67,58,0
STUDENT_41,2839,2,6,13,1,1,2,4,1,2,2,2,2,228,35,56,42,48,47,0
STUDENT_42,2839,2,6,15,0,2,2,7,1,2,3,3,5,297,58,60,63,62,54,1
STUDENT_43,2131,1,6,13,1,2,2,3,1,1,2,2,2,280,60,62,57,60,41,0
STUDENT_44,2131,1,6,1,1,1,2,4,4,1,2,2,2,215,43,48,44,37,42,0
STUDENT_45,2131,1,6,1,1,1,5,4,1,2,4,4,1,241,53,50,54,47,37,0
STUDENT_46,2131,1,6,7,1,1,3,3,1,1,2,2,1,248,44,57,43,56,48,0
STUDENT_47,2710,2,7,9,1,1,2,4,1,1,3,3,1,235,44,46,48,48,48,0
STUDENT_48,2131,1,6,9,0,2,2,3,1,1,4,4,2,257,55,54,52,54,42,0
STUDENT_49,2131,1,6,5,1,1,1,3,1,1,2,2,3,230,47,50,42,45,46,0
STUDENT_50,2131,1,6,9,1,1,2,3,1,2,2,2,1,264,54,52,51,53,54,0
STUDENT_51,2711,2,7,9,1,1,2,2,1,1,2,2,2,235,45,49,46,56,39,0
STUDENT_52,2131,1,6,7,1,1,1,3,1,2,3,3,2,269,53,49,67,50,50,0
STUDENT_53,2131,1,6,5,1,1,2,2,1,1,1,1,2,246,52,53,55,47,39,0
STUDENT_54,2131,1,6,4,1,1,2,2,1,1,2,2,2,247,49,45,48,44,61,0
STUDENT_55,2131,1,6,2,0,1,2,2,1,2,2,2,2,228,46,55,46,36,46,0
STUDENT_56,2131,1,6,7,1,1,2,3,1,1,2,2,2,241,52,47,53,39,50,0
STUDENT_57,2131,1,6,1,0,1,1,2,1,1,2,2,2,276,58,55,64,54,45,0
STUDENT_58,2131,1,6,7,0,1,2,4,1,1,2,2,1,240,51,47,42,58,41,0
STUDENT_59,2131,1,6,7,1,1,1,3,1,1,1,1,1,248,45,53,48,52,50,0
STUDENT_60,2131,1,6,9,1,1,3,3,1,1,2,2,1,260,53,54,54,47,52,0
STUDENT_61,2131,1,6,8,0,1,1,2,1,2,2,2,3,272,53,56,57,46,60,0
STUDENT_62,2131,1,6,5,1,1,3,2,1,2,4,4,2,315,55,55,72,58,74,0
STUDENT_63,2131,1,6,9,0,1,1,3,1,1,2,2,2,230,55,46,49,49,31,0
STUDENT_64,2131,1,6,2,1,1,2,2,1,2,2,2,1,243,49,52,44,52,46,0
STUDENT_65,2710,2,7,9,1,1,2,3,1,3,2,2,1,233,48,49,46,52,38,0
STUDENT_66,2131,1,6,9,0,1,1,2,1,2,5,5,1,230,49,42,49,43,47,0
STUDENT_67,2131,1,6,4,0,1,1,2,1,1,2,2,4,287,54,47,61,62,63,0
STUDENT_68,2131,1,6,7,1,1,3,3,1,1,2,2,2,256,51,57,44,50,55,0
STUDENT_69,2710,2,7,9,1,1,2,3,1,1,2,2,5,234,52,44,46,54,38,0
STUDENT_70,2711,2,7,9,1,1,1,3,1,1,2,2,2,266,53,47,58,54,54,0
STUDENT_71,2131,1,6,4,0,1,2,4,1,2,3,3,2,263,53,54,55,58,45,0
STUDENT_72,2131,1,6,1,0,1,3,3,1,1,1,1,1,241,49,53,59,42,39,0
STUDENT_73,2710,1,6,9,1,1,2,2,1,1,3,3,2,279,58,59,61,58,43,0
STUDENT_74,2131,1,6,4,0,1,2,3,1,1,2,2,2,255,51,55,42,58,50,0
STUDENT_75,2131,1,6,2,0,1,3,2,1,1,3,3,1,243,47,53,50,50,43,0
STUDENT_76,2131,1,6,7,0,1,1,3,1,1,2,2,2,237,44,43,58,48,45,0
STUDENT_77,2131,1,6,4,0,1,1,2,1,1,3,3,2,253,52,51,48,54,48,0
STUDENT_78,2131,1,6,5,1,1,3,2,1,2,7,7,2,305,63,58,55,71,58,0
STUDENT_79,2131,1,6,5,0,1,2,7,1,2,1,1,2,261,46,57,48,56,54,0
STUDENT_80,2131,1,6,4,0,1,1,3,1,2,2,2,1,245,54,49,49,48,45,0
STUDENT_81,2131,1,6,2,0,1,2,3,1,2,3,3,2,247,47,50,51,47,53,0
STUDENT_82,2131,1,6,3,0,1,2,2,1,1,2,2,1,338,64,64,72,69,67,1
STUDENT_83,2131,1,6,3,1,1,3,3,1,1,3,3,1,253,53,54,48,48,50,0
STUDENT_84,2131,1,6,4,0,1,2,2,1,2,2,2,2,261,45,57,50,55,53,0
STUDENT_85,2131,1,6,5,0,1,1,3,1,1,2,2,2,252,46,56,55,51,43,0
STUDENT_86,2131,1,6,5,0,1,1,3,1,2,2,2,1,235,46,45,48,49,47,0
STUDENT_87,2131,1,6,2,0,1,2,3,1,2,2,2,1,234,45,44,54,48,43,0
STUDENT_88,2131,1,6,2,0,1,2,2,1,1,1,1,1,238,47,48,55,48,40,0
STUDENT_89,2131,1,6,1,1,1,3,3,1,1,2,2,5,241,51,44,51,50,45,1
STUDENT_90,2131,1,6,3,1,1,3,2,1,2,3,3,2,250,55,48,44,58,46,1
STUDENT_91,2131,1,6,5,0,1,2,2,1,2,2,2,2,279,56,51,60,71,41,0
STUDENT_92,2131,1,6,4,0,1,2,3,1,2,2,2,5,247,47,49,51,48,51,0
STUDENT_93,2131,1,6,1,0,1,3,2,1,1,3,3,4,237,47,47,53,50,39,0
STUDENT_94,2131,1,6,3,1,1,2,2,1,2,3,3,1,299,61,63,58,58,59,0
STUDENT_95,2131,1,6,5,1,1,2,3,1,1,2,2,2,276,52,52,59,60,53,0
STUDENT_96,2131,1,6,5,1,1,3,2,1,1,3,3,1,287,56,53,69,56,53,0
STUDENT_97,2131,1,6,4,1,1,3,3,1,1,4,4,1,250,51,45,53,62,40,0
STUDENT_98,2131,1,6,4,1,1,1,2,4,1,2,2,1,228,45,37,56,44,46,0
STUDENT_99,2131,1,6,3,0,1,2,2,1,2,5,5,2,361,77,64,71,67,82,1
STUDENT_100,2131,1,6,14,1,1,2,3,1,2,4,4,1,273,58,55,64,52,44,0
STUDENT_101,2710,1,6,13,1,1,2,3,1,2,3,3,2,301,66,60,66,47,62,0
STUDENT_102,2131,1,6,7,1,1,2,3,1,1,2,2,1,270,51,53,69,52,45,0
STUDENT_103,2131,1,6,7,0,1,3,4,1,2,2,2,5,236,48,48,53,47,41,0
STUDENT_104,2131,1,6,7,1,3,2,7,1,1,3,3,4,239,47,48,47,50,46,0
STUDENT_105,2131,1,6,7,1,1,2,2,1,2,2,2,1,238,48,49,45,49,47,0
STUDENT_106,2131,1,6,7,0,1,3,2,1,1,3,3,2,231,47,48,52,52,32,0
STUDENT_107,2131,1,6,5,1,2,2,6,1,1,2,2,2,240,47,50,52,48,43,0
STUDENT_108,2131,1,6,7,1,1,3,4,1,1,2,2,2,243,53,49,63,39,38,0
STUDENT_109,2131,1,6,7,0,1,2,3,1,2,3,3,2,256,48,47,55,52,55,0
STUDENT_110,2131,1,6,7,1,1,1,2,1,1,3,3,4,275,53,52,62,57,51,0
STUDENT_111,2839,2,6,14,0,1,1,7,1,1,1,1,5,199,46,44,35,24,50,0
STUDENT_112,2131,1,6,7,1,1,3,2,1,2,2,2,5,265,56,50,52,52,55,0
STUDENT_113,2131,1,6,5,0,1,3,2,1,2,6,6,2,262,52,55,50,49,56,0
STUDENT_114,2131,1,6,4,1,1,2,2,1,1,2,2,2,254,53,42,48,53,58,0
STUDENT_115,2131,1,6,4,1,1,3,2,1,1,3,3,1,285,53,53,58,53,67,0
STUDENT_116,2131,1,6,7,0,1,2,2,1,1,3,3,1,240,50,44,55,48,43,0
STUDENT_117,2711,1,6,10,1,2,1,4,1,1,2,2,1,292,57,62,61,57,54,0
STUDENT_118,2711,1,6,10,1,1,2,3,1,1,2,2,1,279,53,49,55,50,72,0
STUDENT_119,2711,1,6,10,0,1,1,3,1,1,1,1,5,283,56,55,63,56,53,0
STUDENT_120,2711,1,6,10,1,1,3,3,1,2,2,2,2,266,48,54,66,48,51,0
STUDENT_121,2711,1,6,10,1,1,2,3,1,2,2,2,1,248,47,45,48,48,60,0
