features,pvalue,effect_size
COD_PROGRAMA,0.602187101330759,0.03235294117647059
JORNADA,0.00019571335207180837,0.23096497025776602
DURACION,2.4605157711288905e-12,0.4344018506278916
PERIODO_INGRESO,0.01143864340334096,0.15684071381361533
ESTADO_CIVIL,0.5172602032907021,-0.040185062789160605
ESTRATO,0.29104152380995607,0.06549900859220092
CONDICION_EXCEPCION,0.4780759287346871,-0.04401850627891606
TIPO_COLEGIO,0.08352381355857942,-0.10733641771315268
RANGO_INGRESOS,0.3490408228321964,-0.0580964970257766
RANGO_GASTOS,0.007543562689271344,0.16569729015201587
TIPO_VIVIENDA,0.5473485919209609,0.03734302709847984
PUNTAJE_ICFES,0.05672619341359313,0.11817580964970258
PCN,0.8349194681059194,0.012954395241242565
PLC,0.022887644218202653,0.14111037673496366
PMA,0.8935775214719263,-0.008327825512227363
PSC,0.8759037104710297,0.009715796430931923
PIN,0.7706370067195403,-0.018109715796430934
