IDX_STUDENT,Reconstruction error
STUDENT_1093,12.59988
STUDENT_628,7.081812
STUDENT_1267,11.238961
STUDENT_288,140.31413
STUDENT_437,6.3361144
STUDENT_806,9.558935
STUDENT_553,8.371074
STUDENT_1063,13.026277
STUDENT_1740,8.183344
STUDENT_1638,27.18708
STUDENT_1252,3.5794368
STUDENT_1389,5.0147667
STUDENT_778,18.807302
STUDENT_206,9.868395
STUDENT_851,5.4852023
STUDENT_1370,5.400869
STUDENT_1358,3.7159963
STUDENT_1665,1.5994972
STUDENT_84,8.293273
STUDENT_1603,22.786316
STUDENT_1736,24.442516
STUDENT_1345,5.2794065
STUDENT_421,5.925579
STUDENT_1686,6.423435
STUDENT_630,4.8166394
STUDENT_1266,20.630436
STUDENT_988,28.960026
STUDENT_485,42.812435
STUDENT_559,13.592641
STUDENT_918,16.659925
STUDENT_707,4.9095345
STUDENT_132,6.5620594
STUDENT_373,7.289174
STUDENT_1634,20.271404
STUDENT_417,2.6786072
STUDENT_1326,2.8172076
STUDENT_969,3.1818476
STUDENT_741,10.300498
STUDENT_41,24.2099
STUDENT_443,15.154108
STUDENT_439,4.630296
STUDENT_1734,7.6655164
STUDENT_518,10.2452755
STUDENT_78,11.515237
STUDENT_436,10.130782
STUDENT_1163,4.604993
STUDENT_1418,5.022254
STUDENT_1533,16.505554
STUDENT_1169,14.398366
STUDENT_1580,15.255511
STUDENT_1813,10.339331
STUDENT_577,3.9518566
STUDENT_702,8.49553
STUDENT_1722,57.670856
STUDENT_316,5.85362
STUDENT_1452,5.38334
STUDENT_579,27.571587
STUDENT_374,12.372642
STUDENT_1354,5.427456
STUDENT_404,22.019243
STUDENT_891,27.595808
STUDENT_1311,2.746701
STUDENT_1280,10.492302
STUDENT_33,6.313149
STUDENT_1168,9.389737
STUDENT_833,6.3721275
STUDENT_1372,3.5397742
STUDENT_1621,13.715202
STUDENT_1887,10.753209
STUDENT_1393,3.981043
STUDENT_230,8.925415
STUDENT_608,13.655114
STUDENT_661,16.441267
STUDENT_265,8.515843
STUDENT_438,21.08778
STUDENT_1941,19.277216
STUDENT_650,11.966857
STUDENT_461,10.1589155
STUDENT_639,12.942232
STUDENT_889,4.195983
STUDENT_355,15.768598
STUDENT_1893,17.23357
STUDENT_1581,25.332415
STUDENT_354,4.5729713
STUDENT_1647,14.282947
STUDENT_1226,13.8304825
STUDENT_1848,4.7860913
STUDENT_1245,8.331492
STUDENT_799,2.3772602
STUDENT_857,5.482037
STUDENT_1296,32.507984
STUDENT_1889,9.540343
STUDENT_128,4.708836
STUDENT_126,27.284718
STUDENT_152,4.200711
STUDENT_664,16.410414
STUDENT_347,6.8851
STUDENT_580,6.6877556
STUDENT_824,14.944081
STUDENT_1215,10.749144
STUDENT_761,5.4249763
STUDENT_1894,6.398351
STUDENT_849,32.528664
STUDENT_676,15.284693
STUDENT_1495,5.011001
STUDENT_1641,6.2073474
STUDENT_1836,9.774569
STUDENT_487,9.911927
STUDENT_558,6.966321
STUDENT_502,3.4038854
STUDENT_854,13.344332
STUDENT_614,12.726212
STUDENT_1305,23.652006
STUDENT_1875,10.590948
STUDENT_599,7.266112
STUDENT_1544,6.229461
STUDENT_272,4.071235
STUDENT_1885,13.691907
STUDENT_1771,14.842093
STUDENT_1661,11.689073
STUDENT_1064,6.1119328
STUDENT_1340,4.447471
STUDENT_434,8.9084
STUDENT_843,10.145264
STUDENT_713,6.3929534
STUDENT_1918,4.519909
STUDENT_1484,21.142136
STUDENT_1531,12.743475
STUDENT_62,26.61386
STUDENT_1825,24.686626
STUDENT_1908,12.278316
STUDENT_715,35.25724
STUDENT_839,11.462645
STUDENT_293,6.3931065
STUDENT_255,2.8834524
STUDENT_445,6.472417
STUDENT_1917,65.85893
STUDENT_1870,11.698775
STUDENT_94,5.0823936
STUDENT_1927,18.004656
STUDENT_406,6.2988567
STUDENT_87,5.0612006
STUDENT_83,4.927059
STUDENT_506,3.3638866
STUDENT_567,12.381824
STUDENT_1104,3.5120797
STUDENT_1831,5.34985
STUDENT_586,9.242998
STUDENT_450,12.834072
STUDENT_1684,5.1544566
STUDENT_221,8.50657
STUDENT_1627,13.313316
STUDENT_397,3.8852468
STUDENT_92,4.3228393
STUDENT_1655,3.2757022
STUDENT_1928,5.195553
STUDENT_269,9.098759
STUDENT_1344,9.67278
STUDENT_1693,12.934446
STUDENT_777,23.998056
STUDENT_1493,6.31484
STUDENT_1088,11.243173
STUDENT_1834,3.1343946
STUDENT_43,12.56524
STUDENT_1259,20.608236
STUDENT_190,1.2160454
STUDENT_228,7.382341
STUDENT_641,3.5448797
STUDENT_1100,16.974072
STUDENT_1752,19.98343
STUDENT_116,3.5343418
STUDENT_362,2.9565718
STUDENT_257,4.1260805
STUDENT_1223,10.03214
STUDENT_1618,11.785463
STUDENT_1518,8.414711
STUDENT_185,5.961429
STUDENT_1487,40.33938
STUDENT_8,43.284527
STUDENT_25,24.380693
STUDENT_29,17.129803
STUDENT_32,2.6473887
STUDENT_34,13.772409
STUDENT_42,3.745799
STUDENT_82,8.572026
STUDENT_89,5.584869
STUDENT_90,11.313041
STUDENT_99,42.360065
STUDENT_195,8.470736
STUDENT_300,21.596977
STUDENT_318,9.505481
STUDENT_321,7.353206
STUDENT_322,6.2800846
STUDENT_332,11.638763
STUDENT_556,5.61762
STUDENT_575,1.7996043
STUDENT_589,3.1718771
STUDENT_590,7.242811
STUDENT_591,56.98898
STUDENT_593,5.255199
STUDENT_600,6.6953006
STUDENT_601,7.350028
STUDENT_602,3.906433
STUDENT_651,18.844217
STUDENT_791,5.9200654
STUDENT_813,5.092109
STUDENT_814,5.374347
STUDENT_815,5.043111
STUDENT_818,3.6794436
STUDENT_826,4.13011
STUDENT_827,3.0657797
STUDENT_866,6.049487
STUDENT_869,10.044415
STUDENT_872,4.257317
STUDENT_886,28.305965
STUDENT_895,1.8358827
STUDENT_898,20.830725
STUDENT_900,8.940112
STUDENT_901,4.7168427
STUDENT_903,9.250084
STUDENT_904,3.2823849
STUDENT_909,10.994896
STUDENT_910,4.2962413
STUDENT_912,46.386696
STUDENT_913,6.650934
STUDENT_914,4.569475
STUDENT_915,7.862399
STUDENT_921,14.824452
STUDENT_935,5.7650323
STUDENT_958,21.646046
STUDENT_979,9.412142
STUDENT_982,12.541362
STUDENT_983,6.504644
STUDENT_992,3.5826242
STUDENT_993,11.16532
STUDENT_1013,18.991732
STUDENT_1015,7.59498
STUDENT_1017,12.07062
STUDENT_1022,13.489292
STUDENT_1023,27.114079
STUDENT_1024,7.445696
STUDENT_1026,4.8747582
STUDENT_1027,13.325344
STUDENT_1028,3.5513325
STUDENT_1029,8.206703
STUDENT_1030,17.534103
STUDENT_1032,1.8719673
STUDENT_1033,19.175966
STUDENT_1034,5.848764
STUDENT_1035,9.357721
STUDENT_1036,14.440926
STUDENT_1037,9.878851
STUDENT_1041,3.2151136
STUDENT_1044,20.722437
STUDENT_1045,7.952067
STUDENT_1074,13.06625
STUDENT_1075,1.5855418
STUDENT_1076,3.6288855
STUDENT_1077,11.056321
STUDENT_1078,7.3292594
STUDENT_1081,7.9884195
STUDENT_1083,9.697129
STUDENT_1084,6.5074005
STUDENT_1085,7.838877
STUDENT_1107,15.537209
STUDENT_1111,10.06933
STUDENT_1112,19.059296
STUDENT_1117,33.24661
STUDENT_1120,32.13903
STUDENT_1122,3.2838275
STUDENT_1123,6.560764
STUDENT_1124,8.082605
STUDENT_1125,18.428133
STUDENT_1127,11.354872
STUDENT_1137,29.120289
STUDENT_1140,20.815807
STUDENT_1142,8.37653
STUDENT_1144,19.491741
STUDENT_1145,5.422223
STUDENT_1151,11.190996
STUDENT_1154,4.698805
STUDENT_1155,13.936079
STUDENT_1158,14.143476
STUDENT_1159,7.854182
STUDENT_1164,3.0576165
STUDENT_1166,11.317955
STUDENT_1170,3.819765
STUDENT_1174,9.156731
STUDENT_1177,15.510358
STUDENT_1181,3.6087322
STUDENT_1182,6.0845227
STUDENT_1183,3.287371
STUDENT_1185,9.4069805
STUDENT_1187,19.752584
STUDENT_1188,19.510258
STUDENT_1189,23.818897
STUDENT_1198,10.278774
STUDENT_1201,6.3251705
STUDENT_1202,9.939419
STUDENT_1205,5.106185
STUDENT_1206,54.81041
STUDENT_1207,15.756958
STUDENT_1209,16.57485
STUDENT_1212,2.1970708
STUDENT_1213,11.872486
STUDENT_1321,2.4033315
STUDENT_1349,6.878314
STUDENT_1362,5.916658
STUDENT_1363,9.143603
STUDENT_1383,7.0574803
STUDENT_1390,14.884292
STUDENT_1395,4.6994276
STUDENT_1407,7.4738064
STUDENT_1411,19.265112
STUDENT_1414,2.5925615
STUDENT_1415,14.380357
STUDENT_1431,8.824533
STUDENT_1433,7.926061
STUDENT_1434,6.347419
STUDENT_1442,6.5662346
STUDENT_1451,19.38395
STUDENT_1463,28.132277
STUDENT_1467,12.887585
STUDENT_1485,14.303736
STUDENT_1488,5.2717757
