IDX_STUDENT,COD_PROGRAMA,JORNADA,DURACION,PERIODO_INGRESO,ESTADO_CIVIL,ESTRATO,CONDICION_EXCEPCION,TIPO_COLEGIO,RANGO_INGRESOS,RANGO_GASTOS,TIPO_VIVIENDA,PUNTAJE_ICFES,PCN,PLC,PMA,PSC,PIN
STUDENT_1093,-0.025675239,0.011285331,0.01236931,0.91257656,-0.063269846,-0.028977979,0.018421028,0.04698715,0.045051254,-0.00080137793,-0.9907004,0.16257091,0.4606525,0.3937617,-0.7056309,0.5796388,0.1877125
STUDENT_628,-0.9952199,0.009395368,0.0015649917,0.8672345,0.11327475,-1.0670718,-0.026716258,1.0029261,-1.0016367,-0.97560143,-0.04321329,0.87782395,1.6390673,0.83857155,0.45167544,0.48093706,0.23314191
STUDENT_1267,-0.9145843,-0.0074532214,0.0045726122,0.8942222,-0.045099944,-0.048226926,0.07272328,0.007226222,0.954716,0.9739893,-1.042697,1.2781229,1.7329801,0.5516651,0.94274664,0.29472545,1.6893483
STUDENT_288,-0.036215246,0.98508286,0.95951164,0.56849796,-0.0076428056,0.04072505,0.022863429,-0.14429691,2.0414863,2.0681148,-1.0106723,-2.030832,0.35161105,0.0985771,1.0613285,-4.48382,-4.82383
STUDENT_437,-0.032486726,0.95200586,1.0232468,0.27236003,0.7844775,0.0011739312,-0.07023037,0.9548321,-0.024507873,-0.049651094,-1.0658216,0.1335472,0.88556826,0.52588385,-0.24591818,-0.59326994,0.28383926
STUDENT_806,-1.060694,0.063811064,0.015352068,-0.3775596,-0.050785597,-0.050964106,0.031735595,0.97042304,-0.05805762,-0.0647481,-1.0166427,-0.2449903,-0.25231555,-0.52210885,-0.54307926,-0.18215065,0.6057791
STUDENT_553,0.1482819,0.025933232,0.033460643,0.2745474,-0.07480194,0.9619102,0.0070628184,-0.057116307,4.8757486,4.874362,-1.158058,-0.08059752,-0.0034509003,-0.52482647,0.2951545,0.16232291,-0.36186832
STUDENT_1063,-0.001975825,1.0237539,0.9936662,0.09508593,-0.025056314,0.015820112,0.021429952,0.010818147,0.01754205,0.023078654,-0.016039487,0.1508637,0.105389275,-0.02927041,-0.08901065,1.098655,-0.5822243
STUDENT_1740,0.01916173,1.0486054,1.0214278,-0.3769471,-0.025710963,0.0626793,-0.0075544906,-0.03571541,-0.0028454214,0.024453007,-1.0070788,-0.84845454,-0.78957546,-0.5903613,-0.99171555,-0.45081174,-0.46107435
STUDENT_1638,-0.04688488,0.9631138,0.9415935,-0.15986663,0.07558899,-1.0136739,0.008270886,0.09719499,-0.026311636,-0.03947702,0.9497161,0.29947296,-0.36171296,-0.7140324,0.9515797,-0.32393074,1.3107961
STUDENT_1252,0.022580536,-0.014939997,0.00075839367,0.63536096,0.016237773,-1.030127,0.014938723,-0.0072486466,-0.032103803,-0.010492832,-1.0249557,0.1334915,0.43739855,0.24074541,-0.15240401,0.15245989,-0.06229678
STUDENT_1389,-0.13748254,0.05267306,0.026817199,-0.33521044,0.037112825,-1.0389413,3.022187,0.0023365999,-0.0025342256,0.0008190265,-1.1013204,-0.8798343,-0.7623124,-0.9511592,-0.73032033,-0.51365477,-0.6659996
STUDENT_778,-0.051687732,0.011283096,0.043151397,0.39745724,-0.027991116,-0.031928156,-0.04781138,-0.024283607,-0.04326673,-0.064533584,-1.0709283,0.46620354,0.88852394,1.155029,-0.87590784,0.23346156,0.94083685
STUDENT_206,-1.0187953,0.09308987,0.073982716,-0.7447812,0.002788484,-0.08933954,0.101664655,0.96569353,-0.048137426,-0.07948035,2.9374511,-0.44004565,-0.6428462,-1.008653,-0.41594574,0.31231207,-0.13529412
