IDX_STUDENT,COD_PROGRAMA,JORNADA,DURACION,PERIODO_INGRESO,ESTADO_CIVIL,ESTRATO,CONDICION_EXCEPCION,TIPO_COLEGIO,RANGO_INGRESOS,RANGO_GASTOS,TIPO_VIVIENDA,PUNTAJE_ICFES,PCN,PLC,PMA,PSC,PIN
STUDENT_1093,2711,1,6,15,1,2,1,1,2,2,1,262,55,54,45,58,50
STUDENT_628,2131,1,6,14,1,1,1,2,1,1,2,290,66,58,59,57,50
STUDENT_1267,2131,1,6,15,1,2,1,1,3,3,1,304,67,55,63,55,64
STUDENT_288,2721,2,7,13,1,2,1,1,4,4,1,173,55,49,69,0,0
STUDENT_437,2711,2,7,9,2,2,1,2,2,2,1,262,59,55,50,46,51
STUDENT_806,2131,1,6,5,1,2,1,2,2,2,1,247,49,47,46,50,55
STUDENT_553,2711,1,6,10,1,3,1,1,7,7,1,250,51,46,57,53,43
STUDENT_1063,2711,2,7,9,1,2,1,1,2,2,2,261,52,51,52,64,42
STUDENT_1740,2710,2,7,5,1,2,1,1,2,2,1,221,44,46,41,47,43
STUDENT_1638,2710,2,7,7,1,1,1,1,2,2,3,267,48,45,65,47,61
STUDENT_1252,2710,1,6,13,1,1,1,1,2,2,1,261,55,53,51,54,48
STUDENT_1389,2711,1,6,6,1,1,4,1,2,2,1,215,44,43,44,44,40
STUDENT_778,2710,1,6,11,1,2,1,1,2,2,1,276,60,61,43,55,57
STUDENT_206,2131,1,6,2,1,2,1,2,2,2,5,237,45,43,47,55,46
STUDENT_851,2131,1,6,9,1,1,1,1,1,1,2,239,44,48,58,46,42
STUDENT_1370,2711,1,6,6,1,3,1,1,2,2,2,212,46,40,48,38,41
STUDENT_1358,2711,2,7,8,1,1,1,1,2,2,1,249,53,49,57,51,40
STUDENT_1665,2710,2,7,7,1,3,1,2,2,2,2,247,51,51,51,47,47
STUDENT_84,2131,1,6,4,1,2,1,2,2,2,2,261,45,57,50,55,53
STUDENT_1603,2711,1,6,1,1,2,1,2,3,3,1,218,47,37,46,37,51
STUDENT_1736,2710,1,6,6,1,1,1,1,2,2,1,215,43,49,54,49,20
STUDENT_1345,2711,2,7,8,1,3,1,2,3,3,2,201,45,39,43,40,35
STUDENT_421,2710,1,6,10,1,2,1,2,3,3,2,247,53,45,58,48,43
STUDENT_1686,2710,1,6,8,1,1,1,1,2,2,1,212,44,41,43,42,42
STUDENT_630,2131,1,6,14,1,2,1,1,2,2,1,240,49,45,50,50,46
STUDENT_1266,2131,1,6,15,1,2,1,1,2,2,1,228,45,47,55,32,49
STUDENT_988,2711,1,6,14,1,3,1,1,3,3,2,302,60,65,49,58,70
STUDENT_485,2710,1,6,9,1,3,1,2,3,3,2,262,45,45,78,46,48
STUDENT_559,2131,1,6,13,3,1,1,1,2,2,1,283,67,58,58,57,43
STUDENT_918,2131,1,6,8,1,2,1,1,2,2,2,259,47,52,69,48,43
STUDENT_707,2839,2,6,13,3,2,1,2,6,6,2,269,57,52,58,55,47
STUDENT_132,2131,1,6,8,1,1,1,3,2,2,1,270,58,53,49,54,56
STUDENT_373,2711,1,6,9,1,1,1,1,3,3,1,256,51,51,50,59,45
STUDENT_1634,2710,2,7,7,1,3,1,1,2,2,1,297,56,52,77,56,56
STUDENT_417,2710,1,6,9,1,1,1,2,2,2,5,253,48,52,56,50,47
STUDENT_1326,2711,2,7,8,1,1,1,1,3,3,2,233,52,47,46,46,42
STUDENT_969,2722,1,6,15,1,1,1,1,2,2,1,252,53,53,52,48,46
STUDENT_741,2131,1,6,7,1,3,1,1,2,2,1,265,49,51,65,57,43
STUDENT_41,2839,2,6,13,1,2,1,2,2,2,2,228,35,56,42,48,47
STUDENT_443,2711,2,7,11,1,2,1,2,2,2,5,270,49,59,63,43,56
STUDENT_439,2131,1,6,7,1,3,1,1,3,3,2,229,48,51,49,38,43
STUDENT_1734,2710,1,6,6,1,1,1,2,2,2,1,243,49,44,51,53,46
STUDENT_518,2711,1,6,10,1,2,1,1,3,3,1,247,52,47,45,52,51
STUDENT_78,2131,1,6,5,1,3,1,2,7,7,2,305,63,58,55,71,58
STUDENT_436,2131,1,6,7,1,2,1,1,2,2,2,269,49,52,67,56,46
STUDENT_1163,2711,1,6,13,1,1,1,1,2,2,2,266,54,53,57,58,44
STUDENT_1418,2711,2,7,5,1,3,1,1,1,1,1,236,48,49,52,51,36
STUDENT_1533,2711,2,7,3,1,2,1,2,3,3,2,264,53,44,55,58,55
STUDENT_1169,2710,2,7,12,1,2,1,1,2,2,1,297,69,52,58,66,52
STUDENT_1580,2711,1,6,1,1,2,1,1,3,3,1,226,52,42,49,52,32
STUDENT_1813,2710,2,7,3,1,2,1,2,2,2,1,246,48,50,45,55,47
STUDENT_577,2722,1,6,15,1,2,1,1,2,2,1,281,61,58,56,57,49
STUDENT_702,2721,2,7,13,2,1,1,1,1,1,5,287,60,66,62,56,43
